Antecedants,Consequents,Confidence
105,87,0.448851775
87,106,0.223622047
106,87,0.489655172
87,107,0.22519685
107,87,0.461290323
87,109,0.360629921
109,87,0.515765766
87,110,0.428346457
110,87,0.511278195
87,111,0.311811024
111,87,0.404081633
87,112,0.283464567
112,87,0.45112782
87,113,0.256692913
113,87,0.510971787
87,114,0.237795276
114,87,0.495081967
87,115,0.261417323
115,87,0.446236559
87,118,0.233070866
118,87,0.252129472
87,124,0.31496063
124,87,0.31496063
87,128,0.256692913
128,87,0.265905383
87,131,0.280314961
131,87,0.251412429
87,151,0.206299213
151,87,0.278131635
87,158,0.303937008
158,87,0.576119403
87,159,0.220472441
159,87,0.627802691
87,162,0.28503937
162,87,0.205448354
87,183,0.274015748
183,87,0.271875
87,199,0.22519685
199,87,0.334894614
87,206,0.275590551
206,87,0.30647986
87,214,0.217322835
214,87,0.741935484
87,217,0.349606299
217,87,0.259345794
88,92,0.568965517
92,88,0.363636364
88,95,0.63362069
95,88,0.392
89,92,0.534412955
92,89,0.363636364
93,89,0.358090186
89,93,0.546558704
97,89,0.426426426
89,97,0.574898785
110,89,0.265037594
89,110,0.570850202
111,89,0.314285714
89,111,0.623481781
90,92,0.419047619
92,90,0.363636364
90,93,0.450793651
93,90,0.376657825
90,95,0.46031746
95,90,0.386666667
97,90,0.426426426
90,97,0.450793651
102,90,0.310043668
90,102,0.450793651
105,90,0.27348643
90,105,0.415873016
109,90,0.313063063
90,109,0.441269841
90,110,0.476190476
110,90,0.281954887
91,92,0.486013986
92,91,0.38292011
93,92,0.517241379
92,93,0.537190083
95,92,0.450666667
92,95,0.465564738
97,92,0.435435435
92,97,0.399449036
102,92,0.31441048
92,102,0.396694215
103,92,0.352785146
92,103,0.366391185
104,92,0.36159601
92,104,0.399449036
105,92,0.308977035
92,105,0.407713499
109,92,0.326576577
92,109,0.399449036
110,92,0.302631579
92,110,0.443526171
111,92,0.308163265
92,111,0.415977961
113,92,0.55799373
92,113,0.490358127
206,92,0.234676007
92,206,0.369146006
214,92,0.768817204
92,214,0.393939394
93,95,0.429708223
95,93,0.432
97,93,0.477477477
93,97,0.421750663
102,93,0.310043668
93,102,0.376657825
103,93,0.376657825
93,103,0.376657825
104,93,0.394014963
93,104,0.419098143
105,93,0.30480167
93,105,0.387267905
109,93,0.31981982
93,109,0.376657825
110,93,0.308270677
93,110,0.435013263
93,111,0.389920424
111,93,0.3
113,93,0.4169279
93,113,0.352785146
93,114,0.458885942
114,93,0.567213115
115,94,0.360215054
94,115,0.540322581
97,95,0.465465465
95,97,0.413333333
102,95,0.286026201
95,102,0.349333333
105,95,0.290187891
95,105,0.370666667
110,95,0.276315789
95,110,0.392
111,95,0.271428571
95,111,0.354666667
217,95,0.155373832
95,217,0.354666667
97,96,0.393393393
96,97,0.595454545
102,96,0.316593886
96,102,0.659090909
102,97,0.305676856
97,102,0.42042042
97,104,0.402402402
104,97,0.334164589
105,97,0.323590814
97,105,0.465465465
97,109,0.417417417
109,97,0.313063063
97,110,0.492492492
110,97,0.308270677
97,111,0.459459459
111,97,0.312244898
97,112,0.498498498
112,97,0.4160401
146,98,0.36565097
98,146,0.673469388
99,204,0.634285714
204,99,0.587301587
99,217,0.525714286
217,99,0.214953271
100,162,0.409495549
162,100,0.156640182
100,217,0.540059347
217,100,0.212616822
101,177,0.46835443
177,101,0.348235294
102,103,0.480349345
103,102,0.583554377
102,104,0.469432314
104,102,0.536159601
102,105,0.572052402
105,102,0.54697286
102,106,0.336244541
106,102,0.531034483
102,107,0.395196507
107,102,0.583870968
102,108,0.288209607
108,102,0.566523605
102,109,0.609170306
109,102,0.628378378
102,110,0.655021834
110,102,0.563909774
102,111,0.580786026
111,102,0.542857143
102,112,0.554585153
112,102,0.636591479
102,113,0.375545852
113,102,0.539184953
102,114,0.388646288
114,102,0.583606557
102,115,0.480349345
115,102,0.591397849
102,124,0.323144105
124,102,0.233070866
102,131,0.316593886
131,102,0.20480226
102,158,0.294759825
158,102,0.402985075
102,206,0.30349345
206,102,0.243432574
102,217,0.38209607
217,102,0.204439252
103,104,0.596816976
104,103,0.561097257
103,105,0.612732095
105,103,0.482254697
103,106,0.405835544
106,103,0.527586207
103,107,0.432360743
107,103,0.525806452
103,109,0.549071618
109,103,0.466216216
103,110,0.604774536
110,103,0.428571429
103,111,0.604774536
111,103,0.465306122
103,112,0.557029178
112,103,0.526315789
103,113,0.437665782
113,103,0.517241379
103,114,0.485411141
114,103,0.6
103,115,0.482758621
115,103,0.489247312
103,124,0.352785146
124,103,0.209448819
103,217,0.360742706
217,103,0.158878505
105,104,0.490605428
104,105,0.586034913
104,106,0.431421446
106,104,0.596551724
104,107,0.381546135
107,104,0.493548387
104,109,0.541147132
109,104,0.488738739
104,110,0.628428928
110,104,0.473684211
104,111,0.561097257
111,104,0.459183673
104,112,0.543640898
112,104,0.546365915
113,104,0.542319749
104,113,0.431421446
104,114,0.501246883
114,104,0.659016393
104,115,0.523690773
115,104,0.564516129
104,124,0.331670823
124,104,0.209448819
104,131,0.326683292
131,104,0.185028249
104,158,0.331670823
158,104,0.397014925
105,106,0.323590814
106,105,0.534482759
105,107,0.386221294
107,105,0.596774194
105,108,0.277661795
108,105,0.570815451
105,109,0.592901879
109,105,0.63963964
105,110,0.643006263
110,105,0.578947368
105,111,0.590814196
111,105,0.57755102
105,112,0.565762004
112,105,0.679197995
113,105,0.567398119
105,113,0.377870564
105,114,0.384133612
114,105,0.603278689
105,115,0.490605428
115,105,0.63172043
105,124,0.317327766
124,105,0.239370079
105,128,0.298538622
128,105,0.233278956
105,131,0.30480167
131,105,0.206214689
105,158,0.286012526
158,105,0.408955224
105,162,0.292275574
162,105,0.158910329
105,183,0.27348643
183,105,0.2046875
105,206,0.283924843
206,105,0.238178634
105,217,0.384133612
217,105,0.214953271
109,106,0.335585586
106,109,0.513793103
110,106,0.342105263
106,110,0.627586207
111,106,0.312244898
106,111,0.527586207
112,106,0.353383459
106,112,0.486206897
113,106,0.44200627
106,113,0.486206897
114,106,0.495081967
106,114,0.520689655
109,107,0.394144144
107,109,0.564516129
110,107,0.390977444
107,110,0.670967742
111,107,0.475510204
107,111,0.751612903
112,107,0.443609023
107,112,0.570967742
115,107,0.456989247
107,115,0.548387097
110,108,0.255639098
108,110,0.583690987
111,108,0.267346939
108,111,0.56223176
113,108,0.413793103
108,113,0.566523605
109,110,0.664414414
110,109,0.554511278
109,111,0.574324324
111,109,0.520408163
112,109,0.581453634
109,112,0.522522523
113,109,0.542319749
109,113,0.38963964
109,114,0.369369369
114,109,0.537704918
109,115,0.461711712
115,109,0.551075269
109,124,0.342342342
124,109,0.239370079
109,131,0.333333333
131,109,0.209039548
109,158,0.304054054
158,109,0.402985075
109,206,0.333333333
206,109,0.259194396
109,217,0.403153153
217,109,0.20911215
110,111,0.567669173
111,110,0.616326531
112,110,0.669172932
110,112,0.501879699
113,110,0.617554859
110,113,0.370300752
110,114,0.370300752
114,110,0.645901639
110,115,0.469924812
115,110,0.672043011
110,124,0.37406015
124,110,0.313385827
128,110,0.231647635
110,128,0.266917293
110,131,0.327067669
131,110,0.245762712
110,158,0.317669173
158,110,0.504477612
159,110,0.695067265
110,159,0.291353383
162,110,0.181611805
110,162,0.30075188
183,110,0.228125
110,183,0.27443609
110,199,0.308270677
199,110,0.384074941
110,206,0.310150376
206,110,0.288966725
110,208,0.248120301
208,110,0.573913043
110,217,0.343984962
217,110,0.213785047
112,111,0.666666667
111,112,0.542857143
113,111,0.586206897
111,113,0.381632653
114,111,0.603278689
111,114,0.375510204
115,111,0.701612903
111,115,0.532653061
111,124,0.324489796
124,111,0.250393701
128,111,0.231647635
111,128,0.289795918
131,111,0.200564972
111,131,0.289795918
111,141,0.27755102
141,111,0.401179941
111,158,0.289795918
158,111,0.423880597
162,111,0.173666288
111,162,0.312244898
183,111,0.2046875
111,183,0.267346939
205,111,0.537267081
111,205,0.353061224
111,206,0.281632653
206,111,0.241681261
111,217,0.346938776
217,111,0.198598131
113,112,0.517241379
112,113,0.413533835
112,114,0.443609023
114,112,0.580327869
112,115,0.50877193
115,112,0.545698925
112,124,0.345864662
124,112,0.217322835
112,131,0.333333333
131,112,0.187853107
112,217,0.383458647
217,112,0.178738318
113,114,0.485893417
114,113,0.508196721
113,115,0.489028213
115,113,0.419354839
114,115,0.524590164
115,114,0.430107527
174,115,0.473309609
115,174,0.357526882
118,124,0.238500852
124,118,0.220472441
128,118,0.230016313
118,128,0.240204429
118,131,0.282793867
131,118,0.234463277
162,118,0.208853575
118,162,0.313458262
183,118,0.246875
118,183,0.269165247
118,206,0.245315162
206,118,0.252189142
118,217,0.425894378
217,118,0.292056075
224,118,0.324390244
118,224,0.226575809
119,124,0.37254902
124,119,0.209448819
119,162,0.392156863
162,119,0.158910329
119,183,0.473389356
183,119,0.2640625
119,199,0.380952381
199,119,0.318501171
120,122,0.522648084
122,120,0.365853659
120,123,0.494773519
123,120,0.525925926
120,124,0.682926829
124,120,0.308661417
120,125,0.49825784
125,120,0.484745763
121,124,0.73480663
124,121,0.209448819
123,122,0.507407407
122,123,0.334146341
122,124,0.668292683
124,122,0.431496063
122,131,0.334146341
131,122,0.193502825
122,162,0.36097561
162,122,0.167990919
122,183,0.341463415
183,122,0.21875
122,193,0.417073171
193,122,0.467213115
122,217,0.324390244
217,122,0.155373832
123,124,0.674074074
124,123,0.286614173
125,124,0.66440678
124,125,0.308661417
127,124,0.406153846
124,127,0.207874016
128,124,0.270799347
124,128,0.261417323
130,124,0.295744681
124,130,0.218897638
131,124,0.268361582
124,131,0.299212598
151,124,0.322717622
124,151,0.239370079
162,124,0.23723042
124,162,0.329133858
170,124,0.268442623
124,170,0.206299213
182,124,0.436923077
124,182,0.223622047
183,124,0.3125
124,183,0.31496063
184,124,0.425531915
124,184,0.251968504
185,124,0.309322034
124,185,0.22992126
189,124,0.408352668
124,189,0.277165354
193,124,0.573770492
124,193,0.330708661
194,124,0.668032787
124,194,0.256692913
198,124,0.567226891
124,198,0.212598425
199,124,0.503512881
124,199,0.338582677
200,124,0.384831461
124,200,0.215748031
206,124,0.313485114
124,206,0.281889764
217,124,0.216121495
124,217,0.291338583
127,131,0.403076923
131,127,0.185028249
128,129,0.280587276
129,128,0.585034014
130,128,0.695744681
128,130,0.533442088
128,131,0.290375204
131,128,0.251412429
151,128,0.284501062
128,151,0.218597064
128,162,0.311582382
162,128,0.216799092
128,181,0.262642741
181,128,0.4375
128,183,0.246329527
183,128,0.2359375
128,189,0.223491028
189,128,0.317865429
128,206,0.280587276
206,128,0.301225919
128,216,0.225122349
216,128,0.307349666
128,217,0.288743883
217,128,0.206775701
130,129,0.280851064
129,130,0.448979592
130,131,0.308510638
131,130,0.20480226
130,162,0.319148936
162,130,0.170261067
130,181,0.355319149
181,130,0.453804348
130,206,0.304255319
206,130,0.250437828
130,217,0.280851064
217,130,0.154205607
151,131,0.286624204
131,151,0.190677966
155,131,0.345454545
131,155,0.187853107
162,131,0.313280363
131,162,0.389830508
131,170,0.200564972
170,131,0.290983607
172,131,0.364066194
131,172,0.217514124
183,131,0.303125
131,183,0.274011299
185,131,0.366525424
131,185,0.244350282
131,189,0.193502825
189,131,0.317865429
191,131,0.348600509
131,191,0.193502825
131,199,0.201977401
199,131,0.334894614
131,206,0.422316384
206,131,0.523642732
210,131,0.729166667
131,210,0.197740113
131,217,0.360169492
217,131,0.297897196
224,131,0.33902439
131,224,0.196327684
132,217,0.532374101
217,132,0.172897196
134,133,0.567307692
133,134,0.63898917
162,137,0.293984109
137,162,0.811912226
165,137,0.728205128
137,165,0.445141066
166,137,0.84375
137,166,0.423197492
167,137,0.625
137,167,0.438871473
168,137,0.548387097
137,168,0.426332288
172,137,0.643026005
137,172,0.852664577
185,137,0.292372881
137,185,0.432601881
175,138,0.669724771
138,175,0.737373737
139,141,0.57704918
141,139,0.519174041
139,142,0.524590164
142,139,0.544217687
